Directory,Execution time,Efficiency,hops,avg chunk latency,max chunk latency,avg message latency,max message latency,Packets generated,Packets finished,Messages received
output_0.01.txt,0.172,81.97,3.29,250,390,263,402,18700,18700,10219
output_0.1.txt,1.776,82.26,3.29,251,420,263,432,188007,187076,94464
output_0.2.txt,4.371,81.75,3.3,266,6057,289,7127,376103,374496,188460
output_0.3.txt,8.584,76.44,3.29,490,15410,772,20173,562476,557917,283617
output_0.4.txt,13.205,64.55,3.3,1009,25285,3324,38838,717955,699978,359760
output_0.5.txt,14.939,63.52,3.29,1397,20709,8275,46838,779096,751243,380362
output_0.6.txt,19.826,62.86,3.28,1579,22048,13815,46201,786736,756685,378097
output_0.7.txt,17.535,66.11,3.29,1624,28141,18309,51139,783791,754642,373955
output_0.8.txt,17.631,67.23,3.28,1662,22990,21083,49106,792853,763668,381379
output_0.9.txt,18.022,68.60,3.29,1667,27392,23879,48886,798162,768552,387109
output_1.txt,17.759,70.09,3.29,1680,25039,26379,53008,785138,755194,379839
