Directory,Execution time,Efficiency,hops,avg chunk latency,max chunk latency,avg message latency,max message latency,Packets generated,Packets finished,Messages received
output_0.01.txt,0.22,79.47,3.63,274,530,285,541,18720,18563,10068
output_0.1.txt,2.295,83.15,3.77,287,559,299,571,188136,187023,94286
output_0.2.txt,6.385,82.15,4.01,313,618,324,630,376272,374358,188374
output_0.3.txt,12.188,80.48,4.0,315,717,327,721,564408,561742,282664
output_0.4.txt,16.535,77.94,4.04,327,748,339,759,753480,749025,376882
output_0.5.txt,20.211,79.99,3.95,335,956,347,968,941616,936277,471066
output_0.6.txt,24.375,81.86,3.98,363,1334,375,1345,1129752,1123198,565429
output_0.7.txt,30.828,80.91,3.92,396,1673,408,1684,1318824,1309592,659429
output_0.8.txt,33.194,81.40,3.77,453,2246,465,2257,1506960,1495325,753728
output_0.9.txt,36.268,78.04,3.56,573,4410,587,4422,1695096,1678793,847824
output_1.0.txt,39.468,79.58,3.37,1269,19967,2303,20235,1838362,1792129,904877
