total_pe,total_kp,total_lp,end_ts,mapping,model_events,network_events,total_events,runtime,events_processed,events_aborted,events_rb,pe_event_ties,eff,send_loc_remote,percent_loc,send_net_remote,percent_net,rb_total,rb_primary,rb_secondary,fc_attempts,num_gvt,net_events,event_rate,events_past_end,event_alloc,memory_alloc,memory_wasted,remote_sends,remote_recvs,pe_struct,kp_struct,lp_struct,lp_model_struct,lp_rngs,total_lp_size,event_struct,event_struct_model,init_time,pq_time,avl_time,lz4_time,buddy_time,event_proc_time,event_cancel_time,event_abort_time,gvt_time,fc_time,primary_rb_time,net_read_time,net_other_time,inst_comp_time,inst_write_time,total_time
10,160,2028,60000.00,model defined,471969,16,51984,0.2201,483429,0,82328,0,79.47,0,0.00,67302,16.78,32155,14048,18107,1960,196,401101,1822233.83,1539,471985,704469,327,106968,106968,3888,960,960,96,80,1136,976,1488,3.3495,0.0462,0.0103,0.0000,0.0000,0.4011,0.0119,0.0000,0.2569,0.0552,0.0136,0.0331,0.0497,0.0000,0.0000,0.5917
10,160,2028,60000.00,model defined,471969,16,51984,2.2951,4785420,0,689912,0,83.15,0,0.00,693633,16.94,263780,128742,135038,18730,1873,4095508,1784419.23,2503,471985,704469,327,1031691,1031691,3888,960,960,96,80,1136,976,1488,3.4418,0.4799,0.1155,0.0000,0.0000,4.1302,0.0882,0.0000,2.5316,0.5855,0.1355,0.3543,0.4957,0.0000,0.0000,6.1694
10,160,2028,60000.00,model defined,471969,16,51984,6.3853,9977744,0,1511217,0,82.15,0,0.00,1485609,17.55,550728,284258,266470,39070,3907,8466527,1325933.93,3404,471985,704469,327,2218577,2218577,3888,960,960,96,80,1136,976,1488,3.5653,1.3196,0.3882,0.0000,0.0000,10.7894,0.2095,0.0000,4.9098,1.7612,0.3406,0.9781,1.3071,0.0000,0.0000,17.1638
10,160,2028,60000.00,model defined,471969,16,51984,12.1878,15153740,0,2475007,0,80.48,0,0.00,2213279,17.46,883286,423334,459952,59270,5927,12678733,1040281.54,4120,471985,704469,327,3270817,3270817,3888,960,960,96,80,1136,976,1488,3.5040,2.1228,0.9376,0.0000,0.0000,21.3796,0.5537,0.0000,16.2798,2.9589,0.8463,2.2002,2.6191,0.0000,0.0000,32.7608
10,160,2028,60000.00,model defined,471969,16,51984,16.5351,20746358,0,3749109,0,77.94,0,0.00,2971438,17.48,1292815,635700,657115,81100,8110,16997249,1027946.71,7582,471985,704469,327,4738012,4738012,3888,960,960,96,80,1136,976,1488,3.4334,3.1238,1.3679,0.0000,0.0000,28.6183,0.8707,0.0000,21.3541,4.1621,1.2651,2.9989,3.7410,0.0000,0.0000,44.4465
10,160,2028,60000.00,model defined,471969,16,51984,20.2112,25218152,0,4205433,0,79.99,0,0.00,3623163,17.24,1469103,714031,755072,98580,9858,21012719,1039655.78,8309,471985,704469,327,5491195,5491195,3888,960,960,96,80,1136,976,1488,3.3435,4.0722,1.7040,0.0000,0.0000,34.9411,0.9442,0.0000,26.0819,5.1830,1.3446,3.6911,4.2552,0.0000,0.0000,54.3278
10,160,2028,60000.00,model defined,471969,16,51984,24.3753,29893590,0,4590733,0,81.86,0,0.00,4366710,17.26,1631309,825067,806242,116840,11684,25302857,1038053.32,8570,471985,704469,327,6189090,6189090,3888,960,960,96,80,1136,976,1488,3.3623,5.1862,2.1285,0.0000,0.0000,42.4128,0.9409,0.0000,30.6372,6.5611,1.5638,4.4965,4.8708,0.0000,0.0000,65.5208
10,160,2028,60000.00,model defined,471969,16,51984,30.8277,34868057,0,5588803,0,80.91,0,0.00,4999058,17.07,2070179,1147082,923097,136220,13622,29279254,949769.50,12257,471985,704469,327,7776582,7776582,3888,960,960,96,80,1136,976,1488,3.3877,6.9331,2.8008,0.0000,0.0000,52.9042,1.1642,0.0000,31.4142,8.2505,2.1840,5.7006,6.3648,0.0000,0.0000,82.8650
10,160,2028,60000.00,model defined,471969,16,51984,33.1938,38899698,0,6100403,0,81.40,0,0.00,5472376,16.68,2232731,1229038,1003693,151990,15199,32799295,988114.21,13498,471985,704469,327,8420486,8420486,3888,960,960,96,80,1136,976,1488,3.3546,7.3595,3.0830,0.0000,0.0000,57.1819,1.3191,0.0000,35.8695,8.8828,2.3788,6.3419,6.7936,0.0000,0.0000,89.2250
10,160,2028,60000.00,model defined,471969,16,51984,36.2681,43677869,0,7865755,0,78.04,0,0.00,5775368,16.13,2648696,1352518,1296178,170670,17067,35812114,987427.90,14500,471985,704469,327,8851220,8851220,3888,960,960,96,80,1136,976,1488,3.3634,8.2494,3.3361,0.0000,0.0000,61.6018,1.6949,0.0000,38.8829,9.8424,2.5617,6.8586,7.1213,0.0000,0.0000,97.4886
10,160,2028,60000.00,model defined,471969,16,51984,39.4678,46535132,0,7889853,0,79.58,0,0.00,5828271,15.08,2840575,1499947,1340628,181840,18184,38645279,979160.24,19543,471985,704469,327,8855599,8855599,3888,960,960,96,80,1136,976,1488,3.5130,9.6003,3.4763,0.0000,0.0000,69.1660,1.6690,0.0000,42.7517,10.8823,2.6562,7.4628,7.0675,0.0000,0.0000,106.0894
