total_pe,total_kp,total_lp,end_ts,mapping,model_events,network_events,total_events,runtime,events_processed,events_aborted,events_rb,pe_event_ties,eff,send_loc_remote,percent_loc,send_net_remote,percent_net,rb_total,rb_primary,rb_secondary,fc_attempts,num_gvt,net_events,event_rate,events_past_end,event_alloc,memory_alloc,memory_wasted,remote_sends,remote_recvs,pe_struct,kp_struct,lp_struct,lp_model_struct,lp_rngs,total_lp_size,event_struct,event_struct_model,init_time,pq_time,avl_time,lz4_time,buddy_time,event_proc_time,event_cancel_time,event_abort_time,gvt_time,fc_time,primary_rb_time,net_read_time,net_other_time,inst_comp_time,inst_write_time,total_time
10,160,2028,60000.00,model defined,351969,16,51984,6.2106,11104105,0,931337,0,90.84,0,0.00,1960771,19.27,305755,203154,102601,43470,4347,10172768,1637956.77,1178,351985,530094,327,2501085,2501085,3888,960,960,96,80,1136,976,1488,2.6951,1.3849,0.5551,0.0000,0.0000,11.3238,0.0855,0.0000,6.6597,1.9590,0.2912,1.1688,1.2683,0.0000,0.0000,16.6941
10,160,2028,60000.00,model defined,351969,16,51984,125.5119,116777075,0,10585136,0,90.03,0,0.00,20447535,19.26,3074741,2007268,1067473,456240,45624,106191939,846070.96,20109,351985,530094,327,26521891,26521891,3888,960,960,96,80,1136,976,1488,2.6877,21.8750,15.7575,0.0000,0.0000,224.6104,2.3376,0.0000,177.0966,34.7740,7.0327,27.1329,24.7972,0.0000,0.0000,337.3742
10,160,2028,60000.00,model defined,351969,16,51984,265.5604,227670420,0,14854655,0,93.02,0,0.00,40894507,19.22,4070562,2917088,1153474,889380,88938,212815765,801383.65,35142,351985,530094,327,48959169,48959169,3888,960,960,96,80,1136,976,1488,2.6919,53.6366,39.1638,0.0000,0.0000,467.3419,3.0710,0.0000,361.6001,81.3955,12.0557,62.5692,46.7211,0.0000,0.0000,713.8218
10,160,2028,60000.00,model defined,351969,16,51984,403.7812,335041163,0,16585120,0,94.79,0,0.00,61019463,19.16,4171682,3272537,899145,1308800,130880,318456043,788684.71,48825,351985,530094,327,68962747,68962747,3888,960,960,96,80,1136,976,1488,2.6866,87.0424,66.5598,0.0000,0.0000,707.1160,2.8769,0.0000,533.8789,128.7210,15.9177,101.7107,65.9629,0.0000,0.0000,1085.3552
10,160,2028,60000.00,model defined,351969,16,51984,558.6697,443119642,0,19022602,0,95.51,0,0.00,81152349,19.14,4214505,3608634,605871,1730970,173097,424097040,759119.43,64000,351985,530094,327,90018161,90018161,3888,960,960,96,80,1136,976,1488,2.7083,129.3125,98.6021,0.0000,0.0000,962.7421,3.1246,0.0000,726.8648,184.4443,21.1458,145.3045,87.0058,0.0000,0.0000,1501.6907
10,160,2028,60000.00,model defined,351969,16,51984,707.6903,550865277,0,21125773,0,96.01,0,0.00,101287952,19.12,4234599,3665652,568947,2151850,215185,529739504,748547.09,78172,351985,530094,327,110725788,110725788,3888,960,960,96,80,1136,976,1488,2.7382,172.3842,133.9001,0.0000,0.0000,1222.1834,3.7568,0.0000,881.6156,238.9735,25.1644,195.0301,108.5491,0.0000,0.0000,1901.6426
10,160,2028,60000.00,model defined,351969,16,51984,869.5543,658071709,0,22676942,0,96.43,0,0.00,121443786,19.11,4290215,3851801,438414,2570630,257063,635394767,730713.13,92746,351985,530094,327,131664960,131664960,3888,960,960,96,80,1136,976,1488,2.6953,221.1274,173.4130,0.0000,0.0000,1467.6271,4.2449,0.0000,1049.1484,291.7000,30.0623,250.0102,129.0976,0.0000,0.0000,2337.3057
10,160,2028,60000.00,model defined,351969,16,51984,990.1104,757387869,0,23321167,0,96.82,0,0.00,140358224,19.12,4026499,3659614,366885,2958590,295859,734066702,741398.88,164634,351985,530094,327,150109790,150109790,3888,960,960,96,80,1136,976,1488,2.8885,277.6865,205.8835,0.0000,0.0000,1674.8850,4.6865,0.0000,1083.0138,330.3458,32.1988,301.4346,143.4846,0.0000,0.0000,2661.5472
10,160,2028,60000.00,model defined,351969,16,51984,1053.7200,759046268,0,23454781,0,96.81,0,0.00,140383946,19.08,4046419,3676407,370012,2965060,296506,735591487,698090.10,939774,351985,530094,327,150188022,150188022,3888,960,960,96,80,1136,976,1488,2.9109,301.1366,214.9822,0.0000,0.0000,1721.8653,4.9595,0.0000,1125.3524,340.7040,34.0768,313.3203,149.2418,0.0000,0.0000,2832.3901
10,160,2028,60000.00,model defined,351969,16,51984,1151.6165,760412374,0,23322445,0,96.84,0,0.00,140388518,19.05,4013838,3646514,367324,2970400,297040,737089929,640048.05,1714721,351985,530094,327,150129308,150129308,3888,960,960,96,80,1136,976,1488,2.9066,307.4488,217.9321,0.0000,0.0000,1756.0505,5.1228,0.0000,1318.9825,346.6252,33.9216,318.3786,152.0015,0.0000,0.0000,3095.5238
10,160,2028,60000.00,model defined,351969,16,51984,1099.7518,762044075,0,23476222,0,96.82,0,0.00,140399092,19.01,4040062,3670087,369975,2976780,297678,738567853,671576.83,2491756,351985,530094,327,150189498,150189498,3888,960,960,96,80,1136,976,1488,3.0002,312.7506,216.9802,0.0000,0.0000,1739.8616,5.0645,0.0000,1149.7332,346.3889,33.9043,315.6325,150.1187,0.0000,0.0000,2956.1532
