Directory,Execution time,Efficiency,hops,avg chunk latency,max chunk latency,avg message latency,max message latency,Packets generated,Packets finished,Messages received
output_0.01.txt,6.211,90.84,3.76,144,244,224,261,599040,599040,38249
output_0.1.txt,125.512,90.03,3.98,147,262,204,276,6027840,6010220,376676
output_0.2.txt,265.56,93.02,4.0,147,290,202,304,12055680,12023460,753512
output_0.3.txt,403.781,94.79,3.98,146,290,196,308,18083520,18038182,1130627
output_0.4.txt,558.67,95.51,3.97,147,312,198,328,24111360,24051713,1507622
output_0.5.txt,707.69,96.01,3.97,148,346,199,359,30139200,30065465,1884509
output_0.6.txt,869.554,96.43,3.97,152,414,205,429,36167040,36075769,2261236
output_0.7.txt,990.11,96.82,3.97,158,565,688,1115,41760538,41650283,2611061
output_0.8.txt,1053.72,96.81,3.97,158,514,6225,8448,41761518,41650998,2611115
output_0.9.txt,1151.617,96.84,3.97,158,540,10532,14171,41762208,41651891,2611020
output_1.txt,1099.752,96.82,3.97,158,550,13979,18765,41762782,41652346,2611118
