total_pe,total_kp,total_lp,end_ts,mapping,model_events,network_events,total_events,runtime,events_processed,events_aborted,events_rb,pe_event_ties,eff,send_loc_remote,percent_loc,send_net_remote,percent_net,rb_total,rb_primary,rb_secondary,fc_attempts,num_gvt,net_events,event_rate,events_past_end,event_alloc,memory_alloc,memory_wasted,remote_sends,remote_recvs,pe_struct,kp_struct,lp_struct,lp_model_struct,lp_rngs,total_lp_size,event_struct,event_struct_model,init_time,pq_time,avl_time,lz4_time,buddy_time,event_proc_time,event_cancel_time,event_abort_time,gvt_time,fc_time,primary_rb_time,net_read_time,net_other_time,inst_comp_time,inst_write_time,total_time
10,160,2028,60000.00,model defined,351969,16,51984,6.5267,11261541,0,1135619,0,88.79,0,0.00,1942983,19.19,343034,219111,123923,44070,4407,10125922,1551451.01,1126,351985,530094,327,2625677,2625677,3888,960,960,96,80,1136,976,1488,2.7180,1.4294,0.6148,0.0000,0.0000,11.8446,0.1346,0.0000,6.8522,2.0901,0.3434,1.3193,1.3732,0.0000,0.0000,17.5439
10,160,2028,60000.00,model defined,351969,16,51984,7.4437,11093581,0,1004637,0,90.04,0,0.00,1979848,19.62,249189,180086,69103,43390,4339,10088944,1355371.92,1135,351985,530094,327,2577932,2577932,3888,960,960,96,80,1136,976,1488,2.7946,1.8177,1.0988,0.0000,0.0000,13.1018,0.1508,0.0000,7.5412,2.6935,0.3932,1.8202,1.4264,0.0000,0.0000,20.0086
10,160,2028,60000.00,model defined,351969,16,51984,108.1153,111018558,0,9775759,0,90.34,0,0.00,19862031,19.62,2473659,1800977,672682,433720,43372,101242799,936433.60,30335,351985,530094,327,25605475,25605475,3888,960,960,96,80,1136,976,1488,2.7561,22.0473,14.8649,0.0000,0.0000,190.2273,2.0371,0.0000,135.9609,34.3179,5.8703,26.1479,21.0608,0.0000,0.0000,290.6136
10,160,2028,60000.00,model defined,351969,16,51984,241.1973,227758654,0,21053906,0,89.81,0,0.00,40637270,19.66,5076632,3746406,1330226,889740,88974,206704748,856994.35,42349,351985,530094,327,52275254,52275254,3888,960,960,96,80,1136,976,1488,2.7923,54.7690,37.5471,0.0000,0.0000,414.9309,3.7832,0.0000,266.2968,77.3480,14.0324,59.8287,43.2876,0.0000,0.0000,648.3382
10,160,2028,60000.00,model defined,351969,16,51984,521.0619,435386534,0,39611493,0,89.99,0,0.00,77137044,19.49,6883569,5776288,1107281,1700760,170076,395775041,759554.69,69042,351985,530094,327,95435048,95435048,3888,960,960,96,80,1136,976,1488,2.7617,133.1593,101.2527,0.0000,0.0000,869.3778,4.8162,0.0000,570.1352,169.2814,34.8575,146.2767,83.4675,0.0000,0.0000,1400.6093
10,160,2028,60000.00,model defined,351969,16,51984,546.7270,477531534,0,50254585,0,88.24,0,0.00,80431121,18.82,7879959,6431142,1448817,1865400,186540,427276949,781517.88,84389,351985,530094,327,101624067,101624067,3888,960,960,96,80,1136,976,1488,2.7390,153.9696,110.7022,0.0000,0.0000,923.6520,8.1327,0.0000,575.9025,184.3417,42.7207,158.4435,88.0224,0.0000,0.0000,1469.6025
10,160,2028,60000.00,model defined,351969,16,51984,561.8150,485725841,0,57296644,0,86.63,0,0.00,79751750,18.61,8756495,7028455,1728040,1897390,189739,428429197,762580.53,84367,351985,530094,327,103786860,103786860,3888,960,960,96,80,1136,976,1488,2.6912,158.1151,114.2531,0.0000,0.0000,955.0529,8.4690,0.0000,609.9453,189.0931,51.6338,163.3110,91.1991,0.0000,0.0000,1510.1591
10,160,2028,60000.00,model defined,351969,16,51984,574.3835,497881342,0,52730419,0,88.15,0,0.00,81896907,18.40,8100175,6730576,1369599,1944880,194488,445150923,775006.48,85707,351985,530094,327,103454845,103454845,3888,960,960,96,80,1136,976,1488,2.7379,164.7358,120.0384,0.0000,0.0000,975.7047,7.8422,0.0000,610.2709,195.8455,49.4331,171.5237,93.1039,0.0000,0.0000,1543.9431
10,160,2028,60000.00,model defined,351969,16,51984,568.7394,493101009,0,53570578,0,87.81,0,0.00,80571236,18.33,8237828,6777478,1460350,1926210,192621,439530431,772815.13,81473,351985,530094,327,102585782,102585782,3888,960,960,96,80,1136,976,1488,2.7001,168.1996,119.5548,0.0000,0.0000,963.4125,7.6994,0.0000,604.9549,192.1329,48.2293,170.5448,91.4930,0.0000,0.0000,1526.8853
10,160,2028,60000.00,model defined,351969,16,51984,574.6250,499734614,0,58746022,0,86.68,0,0.00,80677827,18.29,8810667,7085831,1724836,1952120,195212,440988592,767437.17,82784,351985,530094,327,104560867,104560867,3888,960,960,96,80,1136,976,1488,2.7508,168.8917,121.9842,0.0000,0.0000,973.4511,9.1926,0.0000,607.0328,196.3976,52.1857,173.4141,91.6346,0.0000,0.0000,1544.5912
10,160,2028,60000.00,model defined,351969,16,51984,577.6651,500716481,0,53602813,0,88.01,0,0.00,81854665,18.31,8094719,6636598,1458121,1955950,195595,447113668,774001.46,76358,351985,530094,327,103942237,103942237,3888,960,960,96,80,1136,976,1488,2.7351,170.8911,122.5761,0.0000,0.0000,981.6771,7.9408,0.0000,615.1246,198.3606,47.1948,173.3867,91.2245,0.0000,0.0000,1552.7590
10,160,2028,60000.00,model defined,351969,16,51984,396.1170,342716918,0,32197733,0,89.63,0,0.00,62081904,19.99,6279910,4694042,1585868,1338790,133879,310519185,783907.65,51118,351985,530094,327,78398224,78398224,3888,960,960,96,80,1136,976,1488,2.7150,100.0191,76.9296,0.0000,0.0000,659.9988,4.4168,0.0000,405.3834,131.6695,28.1526,112.5528,68.4904,0.0000,0.0000,1064.7665
