Directory,Execution time,Efficiency,hops,avg chunk latency,max chunk latency,avg message latency,max message latency,Packets generated,Packets finished,Messages received
output_0.01.txt,0.21,81.49,3.6,272,500,283,512,18700,18541,10060
output_0.1.txt,2.232,81.88,3.75,286,618,297,571,188007,186869,94259
output_0.2.txt,5.263,82.20,3.99,330,8765,355,8777,376143,374104,188440
output_0.3.txt,12.781,70.59,4.0,748,18013,948,18024,562097,552564,279704
output_0.4.txt,19.196,58.14,3.89,1370,29787,3543,32605,709963,688073,349462
output_0.5.txt,20.77,56.80,3.82,1575,23042,9544,43046,745466,719571,354808
output_0.6.txt,21.658,57.30,3.82,1642,25079,14825,44294,752424,726157,352079
output_0.7.txt,21.903,57.85,3.81,1677,23184,19166,47080,751554,725395,354804
output_0.8.txt,22.264,61.02,3.81,1673,21202,22128,47821,765460,739156,366808
output_0.9.txt,21.589,60.35,3.8,1704,28414,25185,51962,741493,715199,352643
output_1.txt,21.782,63.75,3.81,1684,28988,26934,52136,751493,725456,354083
