Directory,Execution time,Efficiency,hops,avg chunk latency,max chunk latency,avg message latency,max message latency,Packets generated,Packets finished,Messages received
output_0.1.txt,107.022,89.63,4.04,150,258,209,272,6023736,6005741,376613
output_0.2.txt,368.803,92.25,4.05,185,10069,398,10080,12047966,12008626,753035
output_0.3.txt,387.418,88.91,3.89,467,16466,2841,29544,17190727,17044544,1091699
output_0.4.txt,386.128,85.94,3.82,534,17425,11259,41511,17629951,17433218,1027877
output_0.5.txt,388.154,86.30,3.81,552,17068,17596,47673,17471424,17279927,1010360
output_0.6.txt,394.306,80.64,3.81,578,21839,22622,51351,16581305,16387995,922307
output_0.7.txt,425.849,82.26,3.82,553,19509,25732,50145,17917474,17715479,1124668
output_0.8.txt,412.986,80.07,3.81,578,23772,28784,52418,17059171,16855468,1041274
output_0.9.txt,404.465,84.68,3.8,564,15835,29582,53828,17354715,17166852,1032865
output_1.txt,412.673,79.97,3.79,574,20176,30929,54877,16944239,16752068,993386
