total_pe,total_kp,total_lp,end_ts,mapping,model_events,network_events,total_events,runtime,events_processed,events_aborted,events_rb,pe_event_ties,eff,send_loc_remote,percent_loc,send_net_remote,percent_net,rb_total,rb_primary,rb_secondary,fc_attempts,num_gvt,net_events,event_rate,events_past_end,event_alloc,memory_alloc,memory_wasted,remote_sends,remote_recvs,pe_struct,kp_struct,lp_struct,lp_model_struct,lp_rngs,total_lp_size,event_struct,event_struct_model,init_time,pq_time,avl_time,lz4_time,buddy_time,event_proc_time,event_cancel_time,event_abort_time,gvt_time,fc_time,primary_rb_time,net_read_time,net_other_time,inst_comp_time,inst_write_time,total_time
10,160,2028,60000.00,model defined,351969,16,51984,107.0216,118132719,0,11094548,0,89.63,0,0.00,20828270,19.46,3198232,2051214,1147018,461540,46154,107038171,1000155.14,20498,351985,530094,327,27072400,27072400,3888,960,960,96,80,1136,976,1488,2.8398,20.5322,13.7409,0.0000,0.0000,190.2175,2.1471,0.0000,133.9919,31.7210,5.9395,23.5711,21.0637,0.0000,0.0000,287.6735
10,160,2028,60000.00,model defined,351969,16,51984,368.8029,231254154,0,16633852,0,92.25,0,0.00,41923577,19.53,4419389,3200310,1219079,903390,90339,214620302,581937.63,36411,351985,530094,327,50827981,50827981,3888,960,960,96,80,1136,976,1488,2.8365,82.2608,58.9922,0.0000,0.0000,624.6408,4.9536,0.0000,412.0372,107.3749,19.6286,92.4961,69.4865,0.0000,0.0000,991.3411
10,160,2028,60000.00,model defined,351969,16,51984,387.4183,339031047,0,33848734,0,88.91,0,0.00,57310323,18.78,6615996,5135888,1480108,1324380,132438,305182313,787733.44,50965,351985,530094,327,71551767,71551767,3888,960,960,96,80,1136,976,1488,3.2032,94.3523,68.4186,0.0000,0.0000,639.5842,4.8153,0.0000,420.1563,124.9738,24.3397,101.0731,61.1253,0.0000,0.0000,1041.3793
10,160,2028,60000.00,model defined,351969,16,51984,386.1276,361339004,0,44544113,0,85.94,0,0.00,57624077,18.19,8021073,5869040,2152033,1411520,141152,316794891,820441.02,54976,351985,530094,327,75058283,75058283,3888,960,960,96,80,1136,976,1488,3.1348,94.1404,71.4068,0.0000,0.0000,659.9057,8.3851,0.0000,435.7081,121.5436,27.6385,107.0423,61.1276,0.0000,0.0000,1037.9080
10,160,2028,60000.00,model defined,351969,16,51984,388.1538,361018093,0,43498833,0,86.30,0,0.00,57006321,17.95,7864268,5871445,1992823,1410310,141031,317519260,818024.38,45655,351985,530094,327,74155691,74155691,3888,960,960,96,80,1136,976,1488,2.8058,101.0219,73.5551,0.0000,0.0000,662.9381,7.7721,0.0000,427.0529,129.8494,29.0649,106.5192,64.5753,0.0000,0.0000,1043.3548
10,160,2028,60000.00,model defined,351969,16,51984,394.3059,363286710,0,58921756,0,80.64,0,0.00,53827227,17.69,9865804,6468005,3397799,1419120,141912,304364954,771900.56,53723,351985,530094,327,76530935,76530935,3888,960,960,96,80,1136,976,1488,2.7296,101.3228,73.3950,0.0000,0.0000,680.2638,13.3659,0.0000,444.7178,130.0698,33.2899,106.7840,69.2675,0.0000,0.0000,1059.8925
10,160,2028,60000.00,model defined,351969,16,51984,425.8490,390108324,0,58781862,0,82.26,0,0.00,58244571,17.58,9518209,6399461,3118748,1523910,152391,331326462,778037.35,109526,351985,530094,327,80586347,80586347,3888,960,960,96,80,1136,976,1488,2.7774,117.6024,82.9034,0.0000,0.0000,729.2312,14.3467,0.0000,464.2005,146.4222,37.2234,120.2494,71.3693,0.0000,0.0000,1144.6806
10,160,2028,60000.00,model defined,351969,16,51984,412.9856,380468220,0,63213904,0,80.07,0,0.00,55514213,17.50,10171561,6630416,3541145,1486240,148624,317254316,768196.98,963592,351985,530094,327,79416517,79416517,3888,960,960,96,80,1136,976,1488,2.7320,113.1177,77.4140,0.0000,0.0000,711.3851,15.3848,0.0000,457.2727,139.5629,38.6257,116.6015,70.8762,0.0000,0.0000,1110.1040
10,160,2028,60000.00,model defined,351969,16,51984,404.4648,373324418,0,49587185,0,84.68,0,0.00,56448215,17.44,8454387,6007562,2446825,1458350,145835,323737233,800408.87,1741096,351985,530094,327,75284499,75284499,3888,960,960,96,80,1136,976,1488,2.7433,111.0184,76.5723,0.0000,0.0000,692.7878,9.8288,0.0000,451.3523,139.5938,29.5534,110.6858,66.3986,0.0000,0.0000,1087.2051
10,160,2028,60000.00,model defined,351969,16,51984,412.6731,380849194,0,63561077,0,79.97,0,0.00,54815224,17.28,10285457,6748287,3537170,1487740,148774,317288117,768860.65,2739064,351985,530094,327,78669914,78669914,3888,960,960,96,80,1136,976,1488,2.7866,112.4131,76.8361,0.0000,0.0000,708.9301,16.3590,0.0000,449.0739,137.0823,38.7927,116.5722,71.6481,0.0000,0.0000,1109.2686
10,160,2028,60000.00,model defined,351969,16,51984,6.5808,11264661,0,1138739,0,88.75,0,0.00,1942983,19.19,343003,218917,124086,44080,4408,10125922,1538705.68,1479,351985,530094,327,2628311,2628311,3888,960,960,96,80,1136,976,1488,2.8084,1.4428,0.5997,0.0000,0.0000,11.8992,0.1376,0.0000,7.2565,2.1680,0.3534,1.3236,1.4006,0.0000,0.0000,17.6892
10,160,2028,60000.00,model defined,351969,16,51984,109.5233,118040015,0,11001844,0,89.72,0,0.00,20828270,19.46,3173806,2040426,1133380,461170,46117,107038171,977309.59,20294,351985,530094,327,27026770,27026770,3888,960,960,96,80,1136,976,1488,2.7504,20.2056,14.0768,0.0000,0.0000,195.0309,2.2374,0.0000,141.4879,32.8083,6.1366,24.4218,21.8906,0.0000,0.0000,294.3992
10,160,2028,60000.00,model defined,351969,16,51984,238.4221,230377770,0,15712894,0,92.68,0,0.00,41825346,19.48,4279938,3102525,1177413,899950,89995,214664876,900356.29,36285,351985,530094,327,50287618,50287618,3888,960,960,96,80,1136,976,1488,2.7424,50.9226,36.6831,0.0000,0.0000,415.4172,2.9576,0.0000,292.2209,77.7601,11.8003,57.9312,41.8494,0.0000,0.0000,640.8801
10,160,2028,60000.00,model defined,351969,16,51984,378.9886,344030483,0,23088827,0,92.81,0,0.00,63295577,19.72,5135264,4187415,947849,1343910,134391,320941656,846837.31,53728,351985,530094,327,75087235,75087235,3888,960,960,96,80,1136,976,1488,2.7500,86.8839,69.4526,0.0000,0.0000,651.5216,3.3601,0.0000,453.3430,127.6876,21.7914,102.5255,63.5658,0.0000,0.0000,1018.7084
10,160,2028,60000.00,model defined,351969,16,51984,506.2083,444059847,0,33290831,0,91.90,0,0.00,78992600,19.23,6328350,5258266,1070084,1734670,173467,410769016,811462.35,72855,351985,530094,327,94245602,94245602,3888,960,960,96,80,1136,976,1488,2.7443,132.7924,98.9702,0.0000,0.0000,855.5518,4.7395,0.0000,553.5950,172.1104,27.8986,142.5177,80.6657,0.0000,0.0000,1360.6753
10,160,2028,60000.00,model defined,351969,16,51984,550.1823,482523299,0,48142504,0,88.92,0,0.00,80095433,18.44,7943390,6296662,1646728,1884880,188488,434380795,789521.62,70393,351985,530094,327,99976357,99976357,3888,960,960,96,80,1136,976,1488,2.7082,158.7366,108.8672,0.0000,0.0000,927.9792,9.0091,0.0000,582.8988,186.4867,41.8582,157.7222,87.6493,0.0000,0.0000,1478.8846
