total_pe,total_kp,total_lp,end_ts,mapping,model_events,network_events,total_events,runtime,events_processed,events_aborted,events_rb,pe_event_ties,eff,send_loc_remote,percent_loc,send_net_remote,percent_net,rb_total,rb_primary,rb_secondary,fc_attempts,num_gvt,net_events,event_rate,events_past_end,event_alloc,memory_alloc,memory_wasted,remote_sends,remote_recvs,pe_struct,kp_struct,lp_struct,lp_model_struct,lp_rngs,total_lp_size,event_struct,event_struct_model,init_time,pq_time,avl_time,lz4_time,buddy_time,event_proc_time,event_cancel_time,event_abort_time,gvt_time,fc_time,primary_rb_time,net_read_time,net_other_time,inst_comp_time,inst_write_time,total_time
10,160,2028,60000.00,model defined,471969,16,51984,5.6729,9967259,0,924925,0,89.77,0,0.00,1558966,17.24,196531,149979,46552,39030,3903,9042334,1593953.21,1493,471985,704469,327,2021650,2021650,3888,960,960,96,80,1136,976,1488,3.3515,1.7726,0.8324,0.0000,0.0000,9.4846,0.0815,0.0000,5.4496,2.3248,0.3565,1.4049,1.1094,0.0000,0.0000,15.2488
10,160,2028,60000.00,model defined,471969,16,51984,79.9985,99741399,0,9108738,0,89.95,0,0.00,15548924,17.16,1951940,1499845,452095,389640,38964,90632661,1132929.90,30402,471985,704469,327,20184314,20184314,3888,960,960,96,80,1136,976,1488,3.3802,21.9593,11.9093,0.0000,0.0000,133.0105,1.2590,0.0000,87.0744,29.4721,5.8570,20.8169,16.3056,0.0000,0.0000,215.0368
10,160,2028,60000.00,model defined,471969,16,51984,166.0500,197275104,0,15768102,0,91.31,0,0.00,31197590,17.19,3091734,2543029,548705,770670,77067,181507002,1093086.60,33458,471985,704469,327,39947464,39947464,3888,960,960,96,80,1136,976,1488,3.3649,49.3032,26.7690,0.0000,0.0000,274.0562,2.2764,0.0000,169.9627,63.8093,11.4418,44.4164,32.9851,0.0000,0.0000,446.3424
10,160,2028,60000.00,model defined,471969,16,51984,279.5456,293723354,0,21416123,0,92.14,0,0.00,46843365,17.20,4073139,3281652,791487,1147430,114743,272307231,974106.62,32765,471985,704469,327,55983955,55983955,3888,960,960,96,80,1136,976,1488,3.3938,84.4177,52.1617,0.0000,0.0000,426.5310,2.4627,0.0000,298.0831,108.1823,16.0855,80.1591,48.0278,0.0000,0.0000,751.4148
10,160,2028,60000.00,model defined,471969,16,51984,350.5043,387862386,0,24693882,0,93.20,0,0.00,62455170,17.20,4785395,4316858,468537,1515100,151510,363168504,1036131.30,49167,471985,704469,327,73927472,73927472,3888,960,960,96,80,1136,976,1488,3.3235,108.0108,71.7466,0.0000,0.0000,564.4824,2.6926,0.0000,371.3284,144.9846,21.5603,106.5342,62.3451,0.0000,0.0000,942.1468
10,160,2028,60000.00,model defined,471969,16,51984,459.4629,480925203,0,26911793,0,94.07,0,0.00,78063966,17.19,5030990,4522933,508057,1878630,187863,454013410,988139.48,66394,471985,704469,327,90605034,90605034,3888,960,960,96,80,1136,976,1488,3.2960,150.8055,100.9550,0.0000,0.0000,734.1212,3.2172,0.0000,440.3073,193.7220,25.8133,146.6663,77.8951,0.0000,0.0000,1235.0212
10,160,2028,60000.00,model defined,471969,16,51984,563.9011,572404018,0,27617807,0,94.93,0,0.00,93642227,17.19,4714544,4430685,283859,2235980,223598,544786211,966102.49,74375,471985,704469,327,106298273,106298273,3888,960,960,96,80,1136,976,1488,3.3816,191.4468,129.1500,0.0000,0.0000,884.8383,3.2373,0.0000,548.8841,241.5408,30.2956,186.1486,92.5471,0.0000,0.0000,1515.7454
10,160,2028,60000.00,model defined,471969,16,51984,679.6543,663025075,0,27504964,0,95.67,0,0.00,109245085,17.19,4572152,4346618,225534,2589970,258997,635520111,935063.78,84983,471985,704469,327,121344193,121344193,3888,960,960,96,80,1136,976,1488,3.3406,240.5189,161.1123,0.0000,0.0000,1058.5617,3.8677,0.0000,632.0750,299.5305,34.0017,229.4535,107.3906,0.0000,0.0000,1826.8847
10,160,2028,60000.00,model defined,471969,16,51984,777.9464,753620984,0,27381756,0,96.23,0,0.00,124844389,17.19,4532124,4346841,185283,2943860,294386,726239228,933533.73,102801,471985,704469,327,136439097,136439097,3888,960,960,96,80,1136,976,1488,3.2935,275.1712,190.3048,0.0000,0.0000,1215.4469,4.2039,0.0000,725.2225,347.2689,36.5834,270.1771,120.0655,0.0000,0.0000,2091.0898
10,160,2028,60000.00,model defined,471969,16,51984,899.1101,843470374,0,26796003,0,96.72,0,0.00,140422177,17.19,4405728,4239707,166021,3294840,329484,816674371,908314.09,112919,471985,704469,327,151969773,151969773,3888,960,960,96,80,1136,976,1488,3.3517,321.7892,222.5333,0.0000,0.0000,1393.7367,4.7694,0.0000,824.9677,404.8665,39.8694,319.4111,137.3569,0.0000,0.0000,2416.8941
10,160,2028,60000.00,model defined,471969,16,51984,1102.4857,931582350,0,28344530,0,96.86,0,0.00,152772356,16.91,5202520,5011879,190641,3639020,363902,903237820,819273.95,216452,471985,704469,327,165081048,165081048,3888,960,960,96,80,1136,976,1488,3.3813,398.6451,253.2006,0.0000,0.0000,1584.6081,5.2804,0.0000,1022.8406,443.3245,45.8285,360.5197,149.3436,0.0000,0.0000,2963.5438
