Directory,Execution time,Efficiency,hops,avg chunk latency,max chunk latency,avg message latency,max message latency,Packets generated,Packets finished,Messages received
output_0.1.txt,1.768,83.63,3.31,251,440,263,451,188136,187206,94468
output_0.2.txt,3.809,85.07,3.31,255,499,266,511,376272,374753,188443
output_0.3.txt,7.927,83.00,3.31,257,589,268,560,564408,562323,282673
output_0.4.txt,13.078,81.28,3.31,265,733,277,744,753480,749866,376965
output_0.5.txt,14.708,82.10,3.3,278,828,289,768,941616,937200,471075
output_0.6.txt,17.837,83.19,3.3,296,1035,308,1009,1129752,1124478,565358
output_0.7.txt,21.442,83.27,3.3,326,1357,337,1347,1318824,1311190,659494
output_0.8.txt,24.535,83.68,3.3,380,1888,392,1849,1506960,1497192,753784
output_0.9.txt,28.561,83.01,3.3,517,3528,534,3540,1695096,1680300,847894
output_1.txt,35.886,83.75,3.3,1287,11447,1555,11459,1883232,1828961,930092
