Directory,Execution time,Efficiency,hops,avg chunk latency,max chunk latency,avg message latency,max message latency,Packets generated,Packets finished,Messages received
output_0.01.txt,0.184,79.91,3.31,252,390,264,402,18720,18720,10225
output_0.1.txt,1.731,83.67,3.31,251,440,263,451,188136,187206,94468
output_0.2.txt,3.735,84.33,3.31,255,499,266,511,376272,374753,188443
output_0.3.txt,8.123,80.13,3.31,257,589,268,560,564408,562323,282673
output_0.4.txt,11.771,79.46,3.31,265,733,277,744,753480,749866,376965
output_0.5.txt,14.385,81.01,3.3,278,828,289,768,941616,937200,471075
output_0.6.txt,18.768,80.20,3.3,296,1035,308,1009,1129752,1124478,565358
output_0.7.txt,21.016,80.97,3.3,326,1357,337,1347,1318824,1311190,659494
output_0.8.txt,28.378,78.72,3.3,380,2049,392,2061,1506960,1497173,753794
output_0.9.txt,28.573,79.51,3.3,517,3115,535,3126,1695096,1680198,847754
output_1.txt,35.935,78.81,3.3,1079,11230,2335,14787,1825849,1787751,898381
