Directory,Execution time,Efficiency,hops,avg chunk latency,max chunk latency,avg message latency,max message latency,Packets generated,Packets finished,Messages received
output_0.1.txt,1.809,83.34,3.31,251,440,263,451,188136,187206,94468
output_0.2.txt,3.811,85.23,3.31,255,499,266,511,376272,374753,188443
output_0.3.txt,8.165,83.72,3.31,257,589,268,560,564408,562323,282673
output_0.4.txt,11.961,81.47,3.31,265,733,277,744,753480,749866,376965
output_0.5.txt,14.603,82.25,3.3,278,828,289,768,941616,937200,471075
output_0.6.txt,18.786,83.58,3.3,296,1035,308,1009,1129752,1124478,565358
output_0.7.txt,21.379,82.91,3.3,326,1357,337,1347,1318824,1311190,659494
output_0.8.txt,24.41,84.38,3.3,380,1888,392,1849,1506960,1497192,753784
output_0.9.txt,32.061,83.53,3.3,517,3528,534,3540,1695096,1680300,847894
output_1.txt,33.081,85.66,3.3,1281,8904,1547,8916,1883232,1830027,931134
