total_pe,total_kp,total_lp,end_ts,mapping,model_events,network_events,total_events,runtime,events_processed,events_aborted,events_rb,pe_event_ties,eff,send_loc_remote,percent_loc,send_net_remote,percent_net,rb_total,rb_primary,rb_secondary,fc_attempts,num_gvt,net_events,event_rate,events_past_end,event_alloc,memory_alloc,memory_wasted,remote_sends,remote_recvs,pe_struct,kp_struct,lp_struct,lp_model_struct,lp_rngs,total_lp_size,event_struct,event_struct_model,init_time,pq_time,avl_time,lz4_time,buddy_time,event_proc_time,event_cancel_time,event_abort_time,gvt_time,fc_time,primary_rb_time,net_read_time,net_other_time,inst_comp_time,inst_write_time,total_time
10,160,2028,60000.00,model defined,471969,16,51984,0.0001,0,0,0,0,-nan,0,-nan,0,-nan,0,0,0,20,2,0,0.00,936,471985,704469,327,0,0,3888,960,960,96,80,1136,976,1488,3.4394,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003
10,160,2028,60000.00,model defined,471969,16,51984,0.0170,31486,0,6277,0,75.10,0,0.00,3451,13.69,2466,1105,1361,140,14,25209,1487168.90,3240,471985,704469,327,6797,6797,3888,960,960,96,80,1136,976,1488,3.3061,0.0039,0.0006,0.0000,0.0000,0.0322,0.0018,0.0000,0.0164,0.0047,0.0014,0.0022,0.0050,0.0000,0.0000,0.0456
10,160,2028,60000.00,model defined,471969,16,51984,0.0368,74533,0,11072,0,82.55,0,0.00,9347,14.73,4643,2218,2425,310,31,63461,1724952.43,3036,471985,704469,327,15187,15187,3888,960,960,96,80,1136,976,1488,3.3258,0.0086,0.0013,0.0000,0.0000,0.0683,0.0023,0.0000,0.0386,0.0099,0.0024,0.0053,0.0089,0.0000,0.0000,0.0989
10,160,2028,60000.00,model defined,471969,16,51984,0.0527,120593,0,19227,0,81.03,0,0.00,15170,14.97,7780,3476,4304,490,49,101366,1924804.89,3257,471985,704469,327,24358,24358,3888,960,960,96,80,1136,976,1488,3.3356,0.0130,0.0020,0.0000,0.0000,0.0962,0.0031,0.0000,0.0551,0.0146,0.0030,0.0074,0.0122,0.0000,0.0000,0.1416
10,160,2028,60000.00,model defined,471969,16,51984,0.0732,165058,0,26337,0,81.01,0,0.00,21091,15.20,10354,4926,5428,670,67,138721,1895820.81,4140,471985,704469,327,33119,33119,3888,960,960,96,80,1136,976,1488,3.3485,0.0181,0.0029,0.0000,0.0000,0.1291,0.0033,0.0000,0.0745,0.0218,0.0047,0.0103,0.0163,0.0000,0.0000,0.1967
10,160,2028,60000.00,model defined,471969,16,51984,0.0921,206571,0,31708,0,81.87,0,0.00,26981,15.43,11755,5928,5827,850,85,174863,1898971.58,4115,471985,704469,327,41571,41571,3888,960,960,96,80,1136,976,1488,3.3179,0.0232,0.0037,0.0000,0.0000,0.1595,0.0042,0.0000,0.0850,0.0273,0.0055,0.0136,0.0201,0.0000,0.0000,0.2475
10,160,2028,60000.00,model defined,471969,16,51984,0.1042,244116,0,32010,0,84.91,0,0.00,32689,15.41,13035,6683,6352,980,98,212106,2035585.75,4366,471985,704469,327,47443,47443,3888,960,960,96,80,1136,976,1488,3.2757,0.0274,0.0046,0.0000,0.0000,0.1854,0.0040,0.0000,0.1119,0.0322,0.0065,0.0161,0.0241,0.0000,0.0000,0.2801
10,160,2028,60000.00,model defined,471969,16,51984,0.1295,288536,0,39883,0,83.96,0,0.00,38432,15.46,16250,8063,8187,1170,117,248653,1920471.13,4738,471985,704469,327,56534,56534,3888,960,960,96,80,1136,976,1488,3.3997,0.0340,0.0054,0.0000,0.0000,0.2279,0.0052,0.0000,0.1213,0.0393,0.0078,0.0191,0.0279,0.0000,0.0000,0.3480
10,160,2028,60000.00,model defined,471969,16,51984,0.1387,323202,0,38902,0,86.32,0,0.00,44026,15.49,16466,8452,8014,1340,134,284300,2050324.17,4819,471985,704469,327,61812,61812,3888,960,960,96,80,1136,976,1488,3.2763,0.0367,0.0061,0.0000,0.0000,0.2495,0.0049,0.0000,0.1421,0.0417,0.0075,0.0211,0.0312,0.0000,0.0000,0.3727
10,160,2028,60000.00,model defined,471969,16,51984,0.1647,374648,0,56125,0,82.38,0,0.00,49239,15.46,22547,10189,12358,1500,150,318523,1933900.00,5300,471985,704469,327,74609,74609,3888,960,960,96,80,1136,976,1488,3.4212,0.0443,0.0080,0.0000,0.0000,0.2843,0.0075,0.0000,0.1630,0.0506,0.0096,0.0267,0.0374,0.0000,0.0000,0.4427
