Directory,Execution time,Efficiency,hops,avg chunk latency,max chunk latency,avg message latency,max message latency,Packets generated,Packets finished,Messages received
output_0.1.txt,1.762,83.44,3.31,251,440,263,451,188136,187206,94468
output_0.2.txt,3.767,85.18,3.31,255,499,266,511,376272,374753,188443
output_0.3.txt,6.942,84.92,3.31,257,589,268,560,564408,562323,282673
output_0.4.txt,12.476,83.17,3.31,265,733,277,744,753480,749866,376965
output_0.5.txt,17.35,83.07,3.3,278,828,289,768,941616,937200,471075
output_0.6.txt,19.62,84.91,3.3,296,1035,308,1009,1129752,1124478,565358
output_0.7.txt,23.537,82.80,3.3,326,1357,337,1347,1318824,1311190,659494
output_0.8.txt,27.078,83.91,3.3,380,1888,392,1849,1506960,1497192,753784
output_0.9.txt,30.126,84.69,3.3,517,3528,534,3540,1695096,1680300,847894
output_1.txt,36.495,86.31,3.3,1279,9649,1544,9661,1883232,1830025,931135
