Directory,Execution time,Efficiency,hops,avg chunk latency,max chunk latency,avg message latency,max message latency,Packets generated,Packets finished,Messages received
output_0.01.txt,5.08,90.51,3.3,115,168,135,186,599040,599040,37440
output_0.1.txt,76.825,90.04,3.31,115,171,135,187,6027840,6013424,377130
output_0.2.txt,182.188,91.61,3.31,115,177,136,193,12055680,12029966,753628
output_0.3.txt,295.002,93.52,3.31,116,198,137,214,18083520,18047695,1130631
output_0.4.txt,404.011,94.57,3.31,117,216,139,232,24111360,24063864,1507572
output_0.5.txt,511.432,95.29,3.31,119,248,143,256,30139200,30079852,1884432
output_0.6.txt,629.477,95.83,3.31,122,264,147,276,36167040,36094019,2261264
output_0.7.txt,681.885,96.25,3.31,126,343,615,924,41760538,41672877,2610952
output_0.8.txt,676.787,96.26,3.31,126,331,6162,8307,41761518,41673750,2610955
output_0.9.txt,697.801,96.26,3.31,126,342,10477,14040,41762208,41674729,2610982
output_1.txt,678.816,96.28,3.31,126,363,13929,18637,41762782,41675277,2610950
