total_pe,total_kp,total_lp,end_ts,mapping,model_events,network_events,total_events,runtime,events_processed,events_aborted,events_rb,pe_event_ties,eff,send_loc_remote,percent_loc,send_net_remote,percent_net,rb_total,rb_primary,rb_secondary,fc_attempts,num_gvt,net_events,event_rate,events_past_end,event_alloc,memory_alloc,memory_wasted,remote_sends,remote_recvs,pe_struct,kp_struct,lp_struct,lp_model_struct,lp_rngs,total_lp_size,event_struct,event_struct_model,init_time,pq_time,avl_time,lz4_time,buddy_time,event_proc_time,event_cancel_time,event_abort_time,gvt_time,fc_time,primary_rb_time,net_read_time,net_other_time,inst_comp_time,inst_write_time,total_time
10,160,64,600000.00,model defined,1793,16,1808,0.1113,367013,0,286429,0,-255.44,0,0.00,12813,15.90,63468,16944,46524,1990,199,80584,724148.78,420,1809,21402,622,59775,59775,3888,960,960,32,80,1072,976,1744,0.7743,0.0325,0.0042,0.0000,0.0000,0.1327,0.0297,0.0000,0.1116,0.0162,0.0254,0.0198,0.0367,0.0000,0.0000,0.2991
10,160,64,600000.00,model defined,1793,16,1808,0.1042,359902,0,279318,0,-246.62,0,0.00,12813,15.90,62666,16734,45932,1840,184,80584,773366.35,314,1809,21402,622,57993,57993,3888,960,960,32,80,1072,976,1744,0.7922,0.0346,0.0037,0.0000,0.0000,0.1433,0.0297,0.0000,0.0917,0.0196,0.0252,0.0183,0.0372,0.0000,0.0000,0.2801
10,160,64,600000.00,model defined,1793,16,1808,0.1210,441904,0,361320,0,-348.38,0,0.00,12813,15.90,76148,19595,56553,2260,226,80584,665812.89,376,1809,21402,622,71103,71103,3888,960,960,32,80,1072,976,1744,0.7734,0.0397,0.0049,0.0000,0.0000,0.1554,0.0411,0.0000,0.1074,0.0365,0.0312,0.0222,0.0439,0.0000,0.0000,0.3253
10,160,64,600000.00,model defined,1793,16,1808,0.0848,344361,0,263777,0,-227.33,0,0.00,12813,15.90,60466,16238,44228,1930,193,80584,949969.35,395,1809,21402,622,56569,56569,3888,960,960,32,80,1072,976,1744,0.7824,0.0294,0.0037,0.0000,0.0000,0.1207,0.0225,0.0000,0.0692,0.0140,0.0244,0.0176,0.0339,0.0000,0.0000,0.2280
10,160,64,600000.00,model defined,1793,16,1808,0.1347,452883,0,372299,0,-362.00,0,0.00,12813,15.90,77201,19823,57378,2200,220,80584,598394.56,314,1809,21402,622,71803,71803,3888,960,960,32,80,1072,976,1744,0.7479,0.0418,0.0047,0.0000,0.0000,0.1645,0.0486,0.0000,0.1288,0.0154,0.0327,0.0232,0.0455,0.0000,0.0000,0.3620
10,160,64,600000.00,model defined,1793,16,1808,0.0980,367959,0,287375,0,-256.62,0,0.00,12813,15.90,63928,17120,46808,1770,177,80584,822386.41,230,1809,21402,622,59483,59483,3888,960,960,32,80,1072,976,1744,0.7407,0.0338,0.0038,0.0000,0.0000,0.1357,0.0353,0.0000,0.0839,0.0163,0.0255,0.0189,0.0376,0.0000,0.0000,0.2634
10,160,64,600000.00,model defined,1793,16,1808,0.1157,414783,0,334199,0,-314.72,0,0.00,12813,15.90,70852,18425,52427,2140,214,80584,696653.50,337,1809,21402,622,65957,65957,3888,960,960,32,80,1072,976,1744,0.7726,0.0373,0.0044,0.0000,0.0000,0.1499,0.0365,0.0000,0.0975,0.0224,0.0315,0.0212,0.0427,0.0000,0.0000,0.3109
10,160,64,600000.00,model defined,1793,16,1808,0.0811,335147,0,254563,0,-215.90,0,0.00,12813,15.90,58596,15765,42831,1760,176,80584,993270.06,293,1809,21402,622,53817,53817,3888,960,960,32,80,1072,976,1744,0.8358,0.0288,0.0034,0.0000,0.0000,0.1160,0.0208,0.0000,0.0658,0.0137,0.0229,0.0260,0.0315,0.0000,0.0000,0.2181
10,160,64,600000.00,model defined,1793,16,1808,0.0900,367670,0,287086,0,-256.26,0,0.00,12813,15.90,62745,16694,46051,1990,199,80584,895596.70,365,1809,21402,622,58325,58325,3888,960,960,32,80,1072,976,1744,0.7484,0.0312,0.0036,0.0000,0.0000,0.1216,0.0245,0.0000,0.0865,0.0114,0.0256,0.0195,0.0336,0.0000,0.0000,0.2419
10,160,64,600000.00,model defined,1793,16,1808,0.4878,1172059,0,984734,0,-425.68,0,0.00,52711,28.14,158975,56005,102970,5680,568,187325,384037.41,1963,1809,21402,622,684277,684277,3888,960,960,32,80,1072,976,1744,0.7587,0.1091,0.0598,0.0000,0.0000,0.5204,0.1233,0.0000,0.5740,0.0385,0.2741,0.1401,0.4120,0.0000,0.0000,1.3111
10,160,64,600000.00,model defined,1793,16,1808,0.0762,332559,0,251975,0,-212.69,0,0.00,12813,15.90,58106,15681,42425,1550,155,80584,1057879.88,181,1809,21402,622,53583,53583,3888,960,960,32,80,1072,976,1744,0.7387,0.0282,0.0034,0.0000,0.0000,0.1175,0.0210,0.0000,0.0604,0.0118,0.0225,0.0166,0.0324,0.0000,0.0000,0.2048
10,160,64,600000.00,model defined,1793,16,1808,0.0141,45999,0,38767,0,-436.05,0,0.00,1160,16.04,6394,1624,4770,820,82,7232,511167.66,0,1809,21402,622,6618,6618,3888,960,960,32,80,1072,976,1744,0.7450,0.0043,0.0005,0.0000,0.0000,0.0145,0.0038,0.0000,0.0217,0.0011,0.0041,0.0024,0.0044,0.0000,0.0000,0.0380
